f-0.1718,-0.5522,0.0510,-1.2386,-0.0053,-0.0377,0.3180,94.0000,0.0222,0.0053,, 0, 1, 0, 0, 0
0.0349,-0.1045,0.0159,2.8653,-0.0019,-0.0332,0.0747,100.0000,0.0095,0.0019,, 0, 1, 0, 0, 0
-0.0423,0.0188,0.0522,4.2735,0.0000,-0.0279,0.3905,80.0000,0.0014,-0.0000,, 0, 1, 0, 0, 0
r0.0831,-0.0430,0.0313,3.7356,0.0018,-0.0038,0.2648,50.0000,0.0103,-0.0018,, 0, 0, 1, 0, 0
-0.0072,0.2345,-0.0065,2.1011,0.0009,0.0228,-0.0206,192.0000,-0.0130,-0.0009,, 0, 0, 1, 0, 0
0.0024,0.0859,0.0562,-2.2054,0.0071,0.0285,0.5498,177.0000,-0.0101,-0.0071,, 0, 0, 1, 0, 0
s-0.1019,-0.2838,0.2556,-7.9042,0.0219,0.0084,2.2716,138.0000,0.0034,-0.0219,, 1, 0, 0, 0, 0
0.0727,-0.1116,-0.0493,-8.2009,0.0307,0.0124,-0.0746,181.0000,0.0000,-0.0307,, 1, 0, 0, 0, 0
f0.1408,-0.0913,-0.0887,-8.3298,0.0276,-0.0038,-0.4375,77.0000,0.0025,-0.0276,, 0, 1, 0, 0, 0
0.0692,-0.0097,0.0075,-7.9463,0.0183,0.0007,0.2439,37.0000,-0.0028,-0.0183,, 0, 1, 0, 0, 0
-0.0235,-0.1114,0.0313,-7.2262,0.0189,-0.0100,0.4296,13.0000,0.0065,-0.0189,, 0, 1, 0, 0, 0
0.0366,-0.1693,-0.0324,-4.7379,0.0122,-0.0208,-0.1574,1.0000,0.0123,-0.0122,, 0, 1, 0, 0, 0
s0.0246,0.0867,-0.0857,0.8250,-0.0002,-0.0115,-0.6989,144.0000,0.0059,0.0002,, 1, 0, 0, 0, 0
r-0.0104,0.0488,-0.0352,3.4364,-0.0091,-0.0160,-0.3887,114.0000,0.0231,0.0091,, 0, 0, 1, 0, 0
0.0500,0.0915,-0.1455,6.0928,-0.0143,-0.0013,-1.3076,53.0000,0.0031,0.0143,, 0, 0, 1, 0, 0
0.0205,0.0739,0.0260,7.3375,-0.0199,-0.0034,0.0055,129.0000,0.0027,0.0199,, 0, 0, 1, 0, 0
f0.1437,-0.3641,0.0081,6.2442,-0.0186,-0.0588,-0.1797,144.0000,0.0283,0.0186,, 0, 1, 0, 0, 0
-0.0166,0.1697,0.0037,9.3122,-0.0128,-0.0293,-0.1275,196.0000,-0.0073,0.0128,, 0, 1, 0, 0, 0
r-0.1024,-0.0854,0.0682,8.1002,-0.0097,-0.0161,0.4326,54.0000,0.0139,0.0097,, 0, 0, 1, 0, 0
0.0131,0.1748,0.0277,6.8270,-0.0026,0.0089,0.2044,111.0000,-0.0086,0.0026,, 0, 0, 1, 0, 0
0.0179,0.1735,0.0292,2.5681,0.0040,0.0230,0.2964,5.0000,-0.0142,-0.0040,, 0, 0, 1, 0, 0
0.0390,0.0609,0.0257,-2.1805,0.0100,0.0307,0.3366,27.0000,-0.0123,-0.0100,, 0, 0, 1, 0, 0
s-0.0303,0.1705,0.0730,-5.3002,0.0215,0.0265,0.8259,142.0000,-0.0199,-0.0215,, 1, 0, 0, 0, 0
0.0194,-0.0349,0.0056,-8.8237,0.0303,0.0206,0.3687,176.0000,-0.0070,-0.0303,, 1, 0, 0, 0, 0
f-0.0207,-0.0061,-0.0669,-9.8944,0.0241,0.0090,-0.2847,142.0000,-0.0072,-0.0241,, 0, 1, 0, 0, 0
r-0.0699,0.6018,-0.0609,-7.2909,0.0169,0.0681,-0.2495,25.0000,-0.0395,-0.0169,, 0, 0, 1, 0, 0
-0.0872,0.0658,0.0975,-11.5854,0.0190,0.0453,1.0152,161.0000,-0.0082,-0.0190,, 0, 0, 1, 0, 0
f0.0432,-0.0746,0.0821,-11.7226,0.0272,0.0063,0.9351,11.0000,-0.0009,-0.0272,, 0, 1, 0, 0, 0
0.0469,-0.1332,0.0289,-10.8500,0.0282,-0.0038,0.5097,53.0000,0.0075,-0.0282,, 0, 1, 0, 0, 0
-0.0378,-0.1174,-0.0142,-8.7323,0.0276,-0.0081,0.1542,53.0000,0.0076,-0.0276,, 0, 1, 0, 0, 0
0.0349,-0.1551,-0.0802,-4.6996,0.0153,-0.0215,-0.5095,145.0000,0.0129,-0.0153,, 0, 1, 0, 0, 0
